#name name2
NM_001272128.1 Asator
NM_001297785.1 Asator
NM_001297786.2 Thd1
NM_001272131.2 Thd1
NM_143668.3 Thd1
NR_073619.1 CR43958
NM_166767.2 Pur-alpha
NM_079885.2 Pur-alpha
NM_001272133.1 Pur-alpha
NM_166768.2 Pur-alpha
NM_001272134.1 Pur-alpha
NM_166769.2 Pur-alpha
NM_001272132.1 Pur-alpha
NM_143669.2 ND-49
NM_001272135.1 ND-49
NM_143670.5 Ephrin
NM_166770.2 Ephrin
NM_166771.2 Ephrin
NM_166773.2 CG1909
NM_143671.3 CG1909
NR_123747.1 CR45199
NM_080103.3 onecut
NM_001272136.1 onecut
NM_166774.3 Eph
NM_001169353.2 Eph
NM_166777.4 Eph
NM_166775.4 Eph
NM_079886.5 Eph
NM_166776.4 Eph
NM_079887.3 mav
NR_047709.1 mir-954
NM_143673.3 Gat
NM_166779.4 Gat
NM_143674.2 Ekar
NM_001042785.2 Ekar
NM_001042786.2 Ekar
NM_001272137.1 Slip1
NM_001272138.1 Slip1
NM_143676.2 Slip1
NM_001272141.1 CG11360
NM_001272139.1 CG11360
NM_001272140.1 CG11360
NM_143677.4 CG11360
NM_166788.2 myo
NM_166786.2 myo
NM_166787.2 myo
NM_166789.2 ey
NM_079889.3 ey
NM_001014693.2 ey
NM_001014694.2 ey
NM_205876.3 bt
NM_001169354.2 bt
NM_001272143.2 bt
NM_001297787.1 bt
NM_001272142.1 bt
NR_123748.1 CR45200
NM_001272144.1 Sox102F
NM_001272145.1 Sox102F
NM_166792.2 Sox102F
NM_001014695.2 Sox102F
NM_143694.3 fd102C
NR_123749.1 CR45123
NM_001169357.4 Gyf
NM_001169356.2 Gyf
NM_205878.3 Gyf
NM_143693.4 Gyf
NR_047711.2 CR43425
NM_001258497.2 unc-13
NM_001258498.2 unc-13
NM_166794.3 unc-13
NM_166793.4 unc-13
NM_143692.4 unc-13
NM_001272146.1 unc-13
NM_001297788.1 unc-13
NR_123750.1 CR44029
NR_073620.1 CR44029
NM_001272148.1 mGluR
NM_001297789.1 mGluR
NM_079900.3 mGluR
NM_001272147.1 mGluR
NM_001272149.2 4E-T
NM_166798.2 4E-T
NM_166796.2 4E-T
NM_166797.2 4E-T
NR_123751.1 CR45201
NR_073622.1 CR44030
NR_073621.1 CR44030
NR_123752.1 CR44030
NM_001169359.1 fuss
NM_001272150.2 fuss
NM_001169358.2 fuss
NR_003115.1 sphinx
NR_003114.2 sphinx
NR_003113.2 sphinx
NR_073623.1 sphinx
NM_079899.4 toy
NM_001272151.1 toy
NM_001258499.2 PlexA
NM_079898.3 PlexA
NM_166804.4 PlexA
NM_166805.4 PlexA
NR_073624.1 CR44031
NR_073625.1 CR44031
NM_143687.4 CG11077
NM_166807.3 CG11076
NM_143686.4 CG11076
NM_001258500.1 CG11076
NM_001272152.1 ATPsynbeta
NM_166808.3 ATPsynbeta
NM_001297790.1 ATPsynbeta
NM_143758.4 Zyx
NM_166816.3 Zyx
NM_166815.3 Zyx
NM_166819.3 Zyx
NM_001258501.3 Zyx
NM_001297791.1 apolpp
NM_001297792.1 apolpp
NM_079895.3 apolpp
NM_001272156.1 apolpp
NM_143685.3 Actbeta
NM_001014698.3 sv
NM_001014699.3 sv
NM_001014697.2 sv
NM_166822.4 sv
NM_001014701.2 sv
NM_079894.4 sv
NM_001169363.2 sv
NM_001297793.1 Cals
NM_166823.2 Cals
NM_001272157.1 Cals
NM_079893.3 Cals
NM_001272158.1 Arf102F
NM_079892.3 Arf102F
NM_166824.3 CG11155
NM_143684.3 CG11155
NM_166825.3 CG11155
NM_166826.3 CG32017
NM_001169364.2 CG32017
NM_001297794.1 CG32017
NM_143682.4 Kif3C
NM_001258506.2 CG33521
NM_001014703.3 CG33521
NM_001014705.3 CG33521
NM_001014702.4 CG33521
NM_001038717.2 PIP4K
NM_001038716.2 PIP4K
NM_001038719.2 Mitf
NM_001038718.2 Mitf
NM_001258508.2 Mitf
NM_001258507.1 Mitf
NM_001038725.2 Dyrk3
NM_001038723.2 Dyrk3
NM_001038721.2 Dyrk3
NM_001031858.2 Cadps
NM_001031860.2 Cadps
NM_001031859.2 Cadps
NM_001258511.2 Cadps
NM_001258510.2 Cadps
YP_009047266.1 ND2
YP_009047267.1 COX1
YP_009047268.1 COX2
YP_009047269.1 ATP8
YP_009047270.1 ATP6
YP_009047271.1 COX3
YP_009047272.1 ND3
YP_009047273.1 ND5
YP_009047274.1 ND4
YP_009047275.1 ND4L
YP_009047276.1 ND6
YP_009047277.1 CYTB
YP_009047278.1 ND1
NM_132245.1 CG1387
NM_001169307.1 if
NM_001169306.2 if
NM_078654.2 if
NM_167544.2 if
NR_123770.1 CR44779
NR_123769.1 CR44779
NR_123768.1 CR44779
NM_057782.5 csw
NM_001272245.1 csw
NM_001258581.2 N
NM_057511.4 N
NM_001272308.2 Fas2
NM_001297925.1 Fas2
NM_080327.3 Fas2
NM_001272306.1 Fas2
NM_001297926.1 Fas2
NM_167004.2 Fas2
NM_167005.2 Fas2
NM_001144685.2 rg
NM_001042796.3 rg
NM_001144687.2 rg
NM_001144686.2 rg
NM_001297950.1 rg
NM_001297949.1 rg
NM_001297948.1 CG15465
NM_167028.3 rg
NM_131978.3 CG15465
NM_132081.4 mldr
NM_001258620.2 mldr
NR_123819.1 CR44357
NR_123818.1 CR44357
NR_123820.1 CR44357
NM_167124.3 CG1677
NM_001272380.2 CBP
NM_078515.4 CBP
NM_206638.3 CBP
NM_001298124.1 mgl
NM_001298125.1 mgl
NM_132335.3 mgl
NM_001103454.3 mgl
NM_167233.2 CG32687
NM_001272483.1 CG32687
NM_001169252.2 Drak
NM_001169253.2 Drak
NM_206688.2 Drak
NM_001272557.1 CG11138
NM_132581.3 CG11138
NM_001144720.3 CG11138
NM_001169275.2 NFAT
NM_001272597.2 NFAT
NM_078592.3 NFAT
NM_001298315.1 CG5321
NM_132739.3 CG5321
NM_132831.2 CG8184
NM_001298364.1 CG8184
NM_001298359.1 CG8184
NM_001298362.1 CG8184
NM_001298363.1 CG8184
NM_001298361.1 CG8184
NM_001298360.1 CG8184
NM_001272733.2 Socs16D
NM_078666.4 Socs16D
NM_144236.3 CG34401
NM_133108.3 CG34401
NM_001015256.3 CG17167
NM_001015257.3 CG17167
NM_001300716.1 CG17167
NM_001297795.1 RhoGAP1A
NM_001297796.1 RhoGAP1A
NM_001103386.2 RhoGAP1A
NM_001103385.2 RhoGAP1A
NM_001297797.1 RhoGAP1A
NM_001169155.1 RhoGAP1A
NM_130479.3 CG13377
NM_001272160.1 CG13377
NR_073627.1 CR43906
NM_001144668.2 CG32816
NM_001144667.3 CG32816
NR_123759.1 CR44753
NM_080136.3 arg
NM_130497.4 Hmt4-20
NM_130502.3 tw
NM_001272173.1 tw
NM_001272180.1 CG43867
NM_166876.3 DAAM
NM_001297842.1 DAAM
NM_001258532.1 futsch
NM_001169161.3 futsch
NM_001103394.3 futsch
NM_001201595.2 Mur2B
NM_130571.3 Mur2B
NM_001297860.1 Mur2B
NM_001258549.1 prage
NM_001258551.1 prage
NM_001258552.1 prage
NM_001201599.2 prage
NM_001258550.1 prage
NM_130589.3 prage
NM_001038734.2 Hr4
NM_001272232.1 Hr4
NM_001272231.1 Hr4
NM_001272227.1 Hr4
NM_001272230.1 Hr4
NM_001272233.2 Hr4
NM_001272234.1 Hr4
NM_080306.4 pcx
NM_001272253.1 pcx
NM_001272254.2 pcx
NM_001258559.2 CG2841
NM_001297892.1 CG2841
NM_001031863.4 trol
NM_001258566.3 trol
NM_001031867.3 trol
NM_001258562.2 trol
NM_001031862.3 trol
NM_001169177.3 trol
NM_001258564.2 trol
NM_001258570.2 trol
NM_001297896.1 trol
NM_001258571.2 trol
NM_001258568.2 trol
NM_001031866.3 trol
NM_001031864.3 trol
NM_001258569.2 trol
NM_001297893.1 trol
NM_001258567.2 trol
NM_001258563.2 trol
NM_001103399.3 trol
NM_001297894.1 trol
NM_001258565.2 trol
NM_001297895.1 trol
NM_001031865.3 trol
NM_130656.4 Seipin
NM_001258578.1 kirre
NM_080320.4 kirre
NM_001258579.3 kirre
NM_130677.2 CG14418
NM_001272268.1 CG14418
NM_001272267.1 kirre
NM_166960.3 dnc
NM_166963.2 dnc
NM_001272274.1 dnc
NM_166959.2 dnc
NM_166962.2 dnc
NM_166965.2 dnc
NM_166964.2 dnc
NM_166961.2 dnc
NM_166968.3 dnc
NM_001272272.1 dnc
NR_123782.1 CR44999
NM_001297909.1 CG12535
NM_130699.2 CG12535
NM_001272277.1 CG12535
NM_001272276.1 CG12535
NM_166972.2 CG12535
NM_001272288.2 DIP-alpha
NM_057973.4 Parg
NM_001258582.2 Parg
NM_130718.5 HIP
NM_001297918.1 CG2938
NM_130729.4 CG2938
NM_001272297.2 CG2938
NR_133510.1 CR46247
NR_133509.1 CR46247
NM_167008.2 norpA
NM_001014720.2 norpA
NM_001169190.2 norpA
NM_001297931.1 norpA
NR_123790.1 CR32773
NM_080331.3 bi
NM_001272309.2 bi
NM_001169191.1 bi
NM_001297932.1 bi
NM_001169192.2 bi
NM_001258599.2 bi
NM_001258598.3 bi
NM_001014724.2 Proc-R
NM_167020.2 Proc-R
NM_001014723.2 Proc-R
NM_131955.2 Proc-R
NM_001297939.1 Proc-R
NM_001169197.3 CG42594
NM_001169196.3 CG42594
NM_001297940.1 CG42594
NR_123794.1 CR44833
NM_167031.3 SK
NM_001297960.1 SK
NM_167029.3 SK
NM_001272322.1 SK
NM_001297958.1 SK
NM_001272323.2 SK
NM_001272324.2 SK
NM_206631.4 SK
NM_001103415.2 SK
NM_167030.2 SK
NM_001297959.1 SK
NM_080339.3 SK
NM_001297957.1 SK
NM_167032.2 SK
NM_001272326.1 CG42492
NM_001272325.1 CG42492
NM_132009.4 CG42492
NM_001169205.2 CG42492
NM_001272327.1 CG42492
NM_001272328.1 CG42492
NM_132035.3 CG42699
NM_132031.3 CG3097
NR_123807.1 CR45668
NM_001272338.1 Ca-alpha1T
NM_132068.3 Ca-alpha1T
NM_001103419.2 Ca-alpha1T
NM_001258615.1 Ca-alpha1T
NM_001258616.1 Ca-alpha1T
NM_001103422.2 CG34417
NM_001201620.2 CG34417
NM_001103426.3 CG34417
NM_001272355.1 CG34417
NM_001103425.3 CG34417
NM_001103423.3 CG34417
NM_001272352.1 CG34417
NM_001272351.1 CG34417
NM_001272353.1 CG34417
NM_001169209.3 CG34417
NM_001272354.1 CG34417
NM_001272350.1 CG34417
NM_001169208.3 CG34417
NM_001298017.1 CG34417
NM_001272349.1 CG34417
NM_001272348.1 CG34417
NM_001298019.1 CG34417
NM_001272347.1 CG34417
NM_001201619.3 CG34417
NM_001298018.1 CG34417
NM_001031878.2 Pink1
NM_001031882.3 Pink1
NM_167083.4 Pink1
NM_132112.5 Pink1
NM_001031883.3 Pink1
NM_001031881.3 Pink1
NM_001031879.3 Pink1
NM_001031880.3 Pink1
NM_001298023.1 Pink1
NM_132125.2 iav
NM_132141.5 CG14431
NM_001298044.1 CG14431
NM_001031891.3 Sxl
NM_167114.2 Sxl
NM_001272374.1 Sxl
NM_001169217.2 Sxl
NM_001031893.2 Sxl
NM_001272375.2 Sxl
NM_001169215.2 Sxl
NM_167111.3 Sxl
NM_132157.2 CG9650
NM_001103429.5 CG9650
NM_167121.3 CG9650
NM_132176.4 Pdp
NM_001258638.2 Pdp
NM_001298075.1 cyr
NM_001298076.1 cyr
NM_132214.2 cyr
NM_001258648.2 CG1632
NM_132239.3 CG1632
NM_206657.4 Nrg
NM_001272408.1 Nrg
NM_001169234.3 Nrg
NM_078535.3 Nrg
NM_167160.2 Nrg
NM_001169235.1 Nrg
NM_001258652.1 Nrg
NM_001272407.2 Nrg
NM_001169233.2 Nrg
NM_001272429.2 Lim1
NM_132277.3 Lim1
NM_001103447.4 rdgA
NM_001042799.2 rdgA
NM_001201635.1 rdgA
NM_001103446.2 rdgA
NR_073642.2 CR43836
NR_073641.2 CR43836
NR_073643.1 CR43836
NM_132287.3 Nost
NM_001201637.1 Nost
NM_001298100.1 Nost
NM_001169241.1 Nost
NM_001169240.2 Nost
NM_001201638.2 Nost
NM_001272448.2 mei-P26
NM_001272449.1 mei-P26
NM_001272447.2 mei-P26
NM_167193.2 Cubn
NM_001298132.1 CG32698
NM_001258664.2 CG32698
NM_132353.3 CG32698
NM_001272461.1 CG32698
NM_001042802.2 RhoU
NM_001298144.1 RhoU
NM_001042801.2 RhoU
NM_001298150.1 CG34408
NM_001144712.2 CG34408
NM_132385.3 CG34408
NM_001298148.1 CG34408
NM_001103468.2 CG34408
NM_001298147.1 CG34408
NM_001298149.1 CG34408
NM_001298146.1 CG34408
NM_001144711.2 CG34408
NM_001316627.1 l(1)G0289
NM_001144713.3 CG43347
NM_001272495.1 CG43347
NM_132412.3 CG43347
NM_167240.3 ras
NM_001272498.2 ras
NM_167241.3 ras
NM_079907.7 ras
NM_001298168.1 Ork1
NM_078557.5 Ork1
NM_001298167.1 Ork1
NM_167259.3 Ork1
NM_132446.4 CG42339
NR_073647.1 CR44054
NM_132461.3 CG15199
NM_001272515.2 CG44422
NM_001201649.4 CG44422
NM_132471.5 CG44422
NM_167277.2 CG44422
NM_132472.4 CG44422
NM_001298188.1 CG44422
NM_206681.4 dlg1
NM_206683.4 dlg1
NM_001103486.3 dlg1
NM_001103485.3 dlg1
NM_206684.4 dlg1
NM_001272517.1 dlg1
NM_078565.5 dlg1
NM_206682.4 dlg1
NM_001258694.2 dlg1
NM_001272518.1 dlg1
NM_001169248.2 dlg1
NM_167282.4 dlg1
NM_001272519.1 dlg1
NM_001258693.1 dlg1
NM_167292.3 Ptp10D
NM_206690.2 Ptp10D
NM_001272524.1 Ptp10D
NM_001272525.1 Ptp10D
NM_001144715.2 Ptp10D
NM_206691.3 Ptp10D
NM_080762.4 CkIIbeta
NM_206692.3 CkIIbeta
NM_001258699.1 CkIIbeta
NM_001272533.1 CkIIbeta
NM_001258700.2 CkIIbeta
NM_132543.2 CG10362
NR_073650.2 CR43960
NR_073652.2 CR43960
NM_001169259.3 Ten-a
NM_001144717.4 Ten-a
NM_001144718.3 Ten-a
NM_001169260.3 Ten-a
NM_001169261.3 Ten-a
NM_001258711.2 Ten-a
NM_001258712.2 Ten-a
NM_001258713.2 Ten-a
NM_001272554.2 Ten-a
NM_001169258.2 Ten-a
NM_078582.4 Ten-a
NM_001144719.2 Pkcdelta
NM_078616.4 Pkcdelta
NM_132569.3 Pkcdelta
NM_001272562.1 Smr
NM_167334.2 Smr
NM_167335.2 Smr
NM_080536.4 Smr
NM_001272567.2 Pde9
NM_001272566.1 Pde9
NM_167340.5 Pde9
NM_132606.5 Pde9
NM_132617.3 CG12716
NM_001298255.1 CG43313
NM_132625.3 CG43313
NM_078590.3 mew
NM_001272576.2 mew
NM_001272575.2 mew
NM_001298267.1 mew
NM_001272574.1 mew
NM_167354.2 mew
NM_078591.3 dmrt11E
NM_167371.2 Neto
NM_001298282.1 Neto
NM_132704.4 mamo
NM_167387.5 mamo
NM_001201660.3 mamo
NM_001258732.2 mamo
NM_001258733.1 mamo
NM_001272610.2 mamo
NM_001103508.4 mamo
NM_167403.3 Muc12Ea
NM_001298310.1 dpr8
NM_167408.2 dpr8
NM_001272620.2 rut
NM_001272622.2 rut
NM_001272621.2 rut
NM_078601.4 rut
NM_001298317.1 rut
NM_001272619.2 rut
NM_001258743.3 rut
NM_001201661.2 pdgy
NM_132760.5 pdgy
NM_001258744.1 pdgy
NM_001298328.1 pdgy
NM_001298333.1 Lsd-2
NM_001298332.1 Lsd-2
NM_132768.3 Lsd-2
NM_001042812.2 Lsd-2
NM_001042811.2 Lsd-2
NM_001272640.1 HDAC6
NM_132789.4 HDAC6
NM_001258751.1 HDAC6
NR_123917.1 CR44998
NR_123916.1 CR44998
NM_167437.2 HDAC6
NM_167436.3 HDAC6
NM_001258752.1 HDAC6
NM_001169289.2 HDAC6
NM_167445.4 CG6294
NM_176733.4 CG6299
NM_001298341.1 CG6299
NM_001298340.1 CG6299
NM_176732.2 CG6299
NM_001298342.1 CG6299
NM_132800.2 CG15642
NM_001298343.1 CG15642
NM_206757.2 eIF5
NM_001347790.1 CG46312
NM_206758.2 eIF5
NM_132870.4 eIF5
NM_206755.2 eIF5
NM_167477.2 eIF5
NM_206756.2 eIF5
NM_001272670.2 disco-r
NM_001272671.1 disco-r
NM_167487.3 disco-r
NM_001272669.1 disco-r
NM_167513.2 CG9992
NM_132893.3 CG9992
NM_167511.2 CG9992
NM_167514.2 CG9992
NM_001298403.1 para
NM_001201695.2 para
NM_001201703.3 para
NM_001042816.2 para
NM_001201672.1 para
NM_001042815.2 para
NM_001272690.1 para
NM_078647.4 para
NM_001201682.1 para
NM_001201706.1 para
NM_001201687.1 para
NM_001201697.1 para
NM_001201671.1 para
NM_001201691.1 para
NM_001201690.1 para
NM_001201676.1 para
NM_001201707.1 para
NM_001201686.1 para
NM_001201679.1 para
NM_001201685.1 para
NM_001201678.1 para
NM_001201680.1 para
NM_001201708.1 para
NM_001201688.1 para
NM_001201673.1 para
NM_001201684.1 para
NM_001201689.1 para
NM_001201681.1 para
NM_001201709.1 para
NM_001201675.1 para
NM_001201693.1 para
NM_001201692.1 para
NM_001201694.1 para
NM_001201677.1 para
NM_001201683.1 para
NM_001201719.1 para
NM_001201698.1 para
NM_001201717.1 para
NM_001201702.1 para
NM_001201700.1 para
NM_001201720.1 para
NM_001201674.1 para
NM_001201722.1 para
NM_001144733.2 para
NM_001201716.1 para
NM_001201723.1 para
NM_001201699.1 para
NM_001201718.1 para
NM_001201704.1 para
NM_001201696.1 para
NM_001201701.1 para
NM_001201705.1 para
NM_001201715.1 para
NM_001201721.1 para
NM_001201711.1 para
NM_001201712.1 para
NM_001201713.1 para
NM_001201714.1 para
NM_001201710.1 para
NM_001298404.1 para
NM_132912.2 mthl1
NM_001298411.1 mthl1
NR_133532.1 CR46147
NR_123932.1 CR44754
NM_001298429.1 CG45002
NM_001298435.2 baz
NM_001298436.2 baz
NM_001042818.4 baz
NM_001347807.1 baz
NM_001298442.1 CG5445
NM_078661.4 Fim
NM_144231.2 CG12994
NM_001298451.1 chas
NM_167574.2 chas
NM_078669.5 Sh
NM_001272737.1 Sh
NM_001272736.2 Sh
NM_167592.4 Sh
NM_167594.4 Sh
NM_001201739.2 Sh
NM_001316640.1 Sh
NM_167595.4 Sh
NM_001258798.2 Sh
NM_206775.5 Sh
NM_167596.5 Sh
NM_206774.2 Sh
NM_001258797.1 Sh
NM_001169317.1 Sh
NM_001272735.3 Sh
NM_167599.2 CG7536
NM_001272738.2 Ada3
NM_078671.5 Ada3
NM_001201741.1 CG33639
NM_001272747.1 CG33639
NM_001031899.2 CG33639
NM_001201740.1 CG33639
NM_001258810.2 CG6123
NM_133058.4 CG6123
NM_001103550.2 Hayan
NM_001272755.2 Hayan
NM_133068.3 Hayan
NM_133083.3 CG15040
NM_001272768.1 CG43759
NM_133114.4 CG43759
NM_001272769.1 CG43759
NM_001298493.1 CG43759
NM_133124.4 RhoGAP18B
NM_133144.4 Vav
NM_001272774.1 Vav
NM_001103560.3 Vav
NM_167642.3 Vav
NM_133145.4 CG8010
NM_133154.5 kek5
NM_167647.3 kek5
NM_167648.3 kek5
NM_001258817.2 kek5
NM_001258824.1 CoRest
NM_001258825.2 CoRest
NM_001014753.3 CoRest
NM_001014752.4 CoRest
NM_001201742.3 CoRest
NM_001258826.1 CoRest
NM_001272795.1 CG14223
NM_001272794.1 CG14223
NM_134497.2 CG14223
NM_001014758.3 Dop2R
NM_001014760.3 Dop2R
NM_001031909.2 Dop2R
NM_001014757.3 Dop2R
NM_001298548.1 Dop2R
NM_001298552.2 Sdic2
NM_001298551.2 Sdic2
NM_206793.2 Sdic2
NM_001272814.1 CG1504
NM_001272815.1 CG1504
NM_001272813.1 CG1504
NM_001298574.1 shakB
NM_001258859.2 shakB
NM_001258858.2 shakB
NM_001031910.1 CG11566
NM_001031911.1 stg1
NM_001272831.1 CG32521
NM_001272828.1 CG32521
NM_001272833.1 CG32521
NM_167735.2 CG32521
NM_167734.2 CG32521
NM_001272832.2 CG32521
NM_167736.3 CG32521
NM_001272830.1 CG32521
NM_001272829.1 CG32521
NM_001031917.2 bbx
NM_001031918.2 waw
NM_001169343.2 DIP1
NM_167773.3 DIP1
NM_167774.3 DIP1
NM_001169346.2 DIP1
NM_167772.2 DIP1
NM_079929.3 DIP1
NM_001169345.2 DIP1
NM_001169344.2 DIP1
NR_133534.1 flam
NR_123990.1 CR44997
NR_123991.1 CR45464
NR_003723.2 CR40469
NM_001258512.2 CG17636
NM_001258513.2 CG17636
NM_001103384.3 CG17636
NR_047712.1 mir-4915
NR_123755.1 CR45473
NR_123754.1 CR45473
NR_123753.1 CR45473
NM_001297800.1 tyn
NM_001297801.1 tyn
NM_001169156.2 CG17707
NM_001297802.1 CG17707
NM_001297799.1 tyn
NR_073626.1 CR43863
NM_001031861.2 tyn
NM_001038726.2 tyn
NM_001297798.1 tyn
NM_001297803.1 CG3038
NM_130477.4 CG3038
NM_166834.2 CG3038
NM_130478.3 G9a
NM_001272159.1 G9a
NM_001144665.3 CG42376
NM_001144664.3 CG42376
NM_166835.4 cin
NM_057682.4 cin
NM_001272162.1 CG13376
NM_001272161.1 CG13376
NM_001014706.2 CG13376
NM_001014710.2 ewg
NM_001014709.2 ewg
NM_001014711.2 ewg
NM_001014712.2 ewg
NM_001014707.2 ewg
NM_001014708.2 ewg
NM_166836.2 ewg
NM_001272163.1 ewg
NM_001272164.1 ewg
NM_001272165.1 ewg
NM_001258515.1 ewg
NM_001258514.1 ewg
NM_057544.4 ewg
NM_130483.3 CG3777
NR_047714.1 mir-980
NM_001169157.2 CG13375
NM_001297806.1 CG13375
NM_130481.4 CG13375
NM_130482.3 CG12470
NM_080290.4 Or1a
NM_001297808.1 CG32816
NM_166838.3 CG32816
NM_166839.3 CG32816
NM_001297807.1 CG32816
NM_001297804.1 CG3777
NM_166840.2 CG3777
NM_166841.2 CG3777
NM_001297805.1 CG3777
NM_001258516.2 CG43181
NM_001258517.1 CG43182
NM_057444.3 y
NR_047721.1 yar
NR_047720.1 yar
NR_047719.1 yar
NR_047718.1 yar
NR_047717.1 yar
NR_047716.1 yar
NR_037723.1 yar
NR_047722.1 yar
NM_057476.3 ac
NR_123757.2 CR44751
NR_123756.1 CR44751
NR_123758.1 CR44752
NM_057455.3 sc
NM_057275.5 l(1)sc
NM_080291.4 pcl
NM_057346.5 ase
NM_080292.4 Cyp4g1
NM_001297809.1 ebo
NM_001297810.1 ebo
NM_080140.3 ebo
NM_001103388.4 CG13373
NM_130484.3 CG13373
NM_001272166.1 CG32817
NM_166842.3 CG32817
NM_001169158.2 CG32817
NM_001272168.1 CG3176
NM_001272167.1 CG3176
NM_130486.4 CG3176
NM_001297811.1 CG3176
NM_130487.4 CG18273
NM_130488.3 CG3156
NR_133503.1 CR45797
NM_166844.1 CG17896
NM_130489.3 CG17896
NM_001297812.1 CG17778
NM_130490.2 CG17778
NM_001297813.1 svr
NM_206598.3 svr
NM_166846.5 svr
NM_206599.2 svr
NR_123760.1 CR44891
NR_123761.1 CR44892
NM_206597.2 svr
NM_206596.2 svr
NM_080293.4 svr
NM_001297814.1 svr
