gID	name	genename	chr	strand	start	stop
5827	dnc-RD	CG32498-RD	chrX	+	3150076	3233360
5879	CG42324-RC	CG42324-RC	chr3L	+	3485701	3505325
5887	Klc-RA	CG5433-RA	chr3L	-	12739716	12743157
5919	CG11686-RA	CG11686-RA	chr3R	+	9086082	9087949
5923	CG10337-RA	CG10337-RA	chr2L	-	19545376	19546967
5940	CG3409-RA	CG3409-RA	chr2R	-	2587726	2603390
5966	ssh-RD	CG6238-RD	chr3R	-	20764725	20770678
5982	CG6683-RA	CG6683-RA	chr3L	-	8506969	8508012
5986	CG1702-RA	CG1702-RA	chrX	+	20339416	20340823
5992	SPoCk-RA	CG32451-RA	chr3L	+	22766638	22779797
6038	CG15211-RB	CG15211-RB	chrX	+	10666582	10673014
6058	CG12024-RB	CG12024-RB	chr3L	+	1857193	1859049
6113	Eip78C-RC	CG18023-RC	chr3L	+	21233449	21257721
6131	stau-RC	CG5753-RC	chr2R	-	14007129	14013284
6138	Gip-RA	CG2227-RA	chrX	-	10222910	10223841
6140	CG42611-RA	CG42611-RA	chrX	-	9253877	9394176
6237	CG12769-RB	CG12769-RB	chr2R	-	3941331	3953056
6260	ytr-RA	CG18426-RA	chr2R	-	19737804	19738578
6268	CG10933-RA	CG10933-RA	chr2R	+	13610818	13612561
6297	CG5590-RA	CG5590-RA	chr3R	+	23503358	23504738
6311	pont-RA	CG4003-RA	chr3R	+	6087850	6089621
6346	sol-RA	CG1391-RA	chrX	+	21221353	21228939
6353	Spn5-RA	CG18525-RA	chr3R	-	11028791	11032165
6354	CG32982-RA	CG32982-RA	chr2L	+	9125739	9163721
6483	eIF5B-RB	CG10840-RB	chr3L	-	3428654	3460569
6485	CG14527-RA	CG14527-RA	chr3R	+	24706492	24708627
6497	Hil-RB	CG30147-RB	chr2R	-	16494386	16505718
6592	rin-RA	CG9412-RA	chr3R	+	9472732	9478761
6609	CG12734-RB	CG12734-RB	chr3L	+	3178917	3185290
6622	CG9662-RA	CG9662-RA	chr2L	-	3375885	3376710
6627	Sap-r-RA	CG12070-RA	chr3R	-	26709186	26714782
6718	disco-RA	CG9908-RA	chrX	-	16104631	16110778
6731	CG8866-RA	CG8866-RA	chr3R	-	5157783	5160451
6732	Tapdelta-RA	CG9035-RA	chr2R	-	7257791	7258636
6735	Ect3-RA	CG3132-RA	chr3R	+	7825005	7829239
6742	Atg8a-RA	CG32672-RA	chrX	-	10658911	10662253
6854	shep-RB	CG32423-RB	chr3L	-	5153786	5241544
6930	CG33012-RA	CG33012-RA	chr2R	+	8254858	8258338
6958	spri-RI	CG34414-RI	chrX	-	10384098	10387770
7000	Ulp1-RA	CG12359-RA	chrX	-	19096672	19102204
7009	CG11739-RD	CG11739-RD	chr3R	+	204653	206932
7030	CG10916-RA	CG10916-RA	chr2R	+	14061294	14062195
7129	CG6659-RA	CG6659-RA	chrX	-	18547425	18551289
7171	CG8738-RA	CG8738-RA	chr2R	+	4583934	4586088
7237	Mdr49-RA	CG3879-RA	chr2R	-	8827828	8833849
7243	cdc2-RA	CG5363-RA	chr2L	-	10384739	10386220
7304	CG11284-RA	CG11284-RA	chrX	+	8575589	8582793
7316	Scamp-RB	CG9195-RB	chrX	-	15343107	15343893
7322	Pimet-RA	CG12367-RA	chr2R	+	8033240	8040259
7337	Act42A-RA	CG12051-RA	chr2R	-	1901415	1903158
7408	cenB1A-RC	CG6742-RC	chr3R	+	18944152	18946934
7439	Cyp1-RA	CG9916-RA	chrX	-	16211706	16214364
7444	GNBP3-RA	CG5008-RA	chr3L	+	8948104	8949651
7456	CstF-50-RB	CG2261-RB	chr3R	-	27561225	27562688
7480	Cap-H2-RF	CG14685-RF	chr3R	+	6587016	6592478
7492	CG17266-RA	CG17266-RA	chr2R	-	2562533	2563316
7508	bbg-RE	CG42230-RE	chr3L	-	14441699	14469808
7534	SRm160-RA	CG11274-RA	chr3L	+	13029926	13034076
7545	CG7386-RA	CG7386-RA	chr3L	+	6182847	6185150
7564	CG5010-RA	CG5010-RA	chrX	+	17043077	17044680
7579	Ets98B-RA	CG5583-RA	chr3R	+	23562262	23574089
7600	CG2444-RA	CG2444-RA	chrX	-	11598343	11599056
7615	CG31676-RA	CG31676-RA	chr2L	+	20840752	20849182
7662	Chc-RE	CG9012-RE	chrX	-	15722019	15729515
7727	CG4585-RA	CG4585-RA	chr2R	-	19750485	19752851
7772	cnc-RC	CG17894-RC	chr3R	-	19016876	19047710
7774	CG13398-RA	CG13398-RA	chr2L	-	8412411	8415251
7883	As-RA	CG6190-RA	chr3L	-	11199522	11203636
7889	CG5613-RB	CG5613-RB	chrX	+	17320033	17322767
7910	coro-RA	CG9446-RA	chr2R	-	2749506	2760220
7914	Vha100-2-RB	CG18617-RB	chr3R	-	14216039	14224887
7926	Bx-RC	CG6500-RC	chrX	+	18428698	18460340
8000	CG2852-RA	CG2852-RA	chr2R	-	18532448	18533843
8001	CG17189-RA	CG17189-RA	chr3R	+	22927109	22928639
8039	fal-RB	CG9670-RB	chr3L	+	19287870	19291935
8043	CG12096-RA	CG12096-RA	chrX	+	13053848	13055732
8045	vib-RA	CG5269-RA	chr3R	-	15043466	15052355
8066	raps-RA	CG5692-RA	chr3R	+	23408580	23412098
8127	ced-6-RB	CG11804-RB	chr2R	-	5328333	5329061
8208	Tpi-RB	CG2171-RB	chr3R	-	25958698	25959997
8221	nocturnin-RE	CG31299-RE	chr3R	+	7026138	7034353
8254	Topors-RA	CG15104-RA	chr2R	+	14860436	14864767
8268	wuho-RA	CG15897-RA	chrX	+	6182144	6183591
8292	CG3376-RA	CG3376-RA	chr2R	+	20145538	20152746
8341	nuf-RF	CG33991-RF	chr3L	+	14214542	14221952
8364	caps-RB	CG11282-RB	chr3L	+	13221794	13272742
8396	GIIIspla2-RA	CG1583-RA	chrX	+	8051668	8053072
8412	CG32547-RC	CG32547-RC	chrX	-	18337843	18373502
8489	Ptp69D-RA	CG10975-RA	chr3L	+	12728062	12734668
8510	PMCA-RN	CG42314-RN	chr4	-	355296	379287
8517	Ate1-RA	CG9204-RA	chr2R	-	16142471	16144878
8576	CG12848-RA	CG12848-RA	chr2R	-	20650089	20650615
8582	CG30010-RA	CG30010-RA	chr2R	+	5751273	5752081
8649	pigeon-RA	CG10739-RA	chr2L	+	19186074	19189938
8662	CG3964-RA	CG3964-RA	chr2L	+	3862658	3867504
8691	CG31883-RA	CG31883-RA	chr2L	+	9528515	9529648
8693	metl-RA	CG13929-RA	chr3L	-	1637942	1639232
8706	e(y)3-RA	CG12238-RA	chrX	-	19521982	19532402
8744	Pp2B-14D-RA	CG9842-RA	chrX	-	16450797	16454049
8760	Set-RA	CG4299-RA	chr3R	+	11089276	11090975
8773	CG3842-RA	CG3842-RA	chrX	+	6233530	6235173
8777	SC35-RB	CG5442-RB	chr2L	-	12431868	12434000
8780	glu-RA	CG11397-RA	chr2L	-	16733617	16738386
8786	CG5521-RA	CG5521-RA	chr3R	+	22792637	22802267
8805	Faf-RA	CG10372-RA	chr2L	-	18706261	18708589
8818	p120ctn-RA	CG17484-RA	chr2R	+	482798	496995
8832	CG3876-RA	CG3876-RA	chr2L	-	818079	819434
8837	CG6015-RA	CG6015-RA	chr3R	-	17857872	17859967
8853	CG11299-RB	CG11299-RB	chr2R	+	19601425	19620706
8854	CG13117-RA	CG13117-RA	chr2L	+	9736681	9737329
8858	CG14450-RA	CG14450-RA	chr3L	-	22719333	22720868
8863	CG6388-RA	CG6388-RA	chr2L	+	12428036	12430031
8874	Xpac-RA	CG6358-RA	chrX	-	3997047	3998261
8882	CG12730-RA	CG12730-RA	chrX	+	5411294	5412803
8924	CG6506-RA	CG6506-RA	chrX	+	17744494	17745922
8947	CG3862-RA	CG3862-RA	chr2L	-	824329	825845
8992	Rap2l-RB	CG3204-RB	chr2R	+	19950720	19952928
8999	CG11030-RA	CG11030-RA	chr2L	+	5724699	5759810
9039	tankyrase-RA	CG4719-RA	chr3R	-	21478807	21486999
9047	Su(var)3-3-RA	CG17149-RA	chr3L	+	20219480	20223351
9059	l(1)G0004-RA	CG11738-RA	chrX	+	20262465	20263428
9087	Slbp-RA	CG11886-RA	chr3R	-	24977793	24979008
9100	CG6859-RA	CG6859-RA	chr3L	+	15137444	15139149
9103	CG32985-RA	CG32985-RA	chr2L	+	8962617	8964628
9107	CG18765-RB	CG18765-RB	chr3R	-	7516107	7517546
9126	form3-RB	CG33556-RB	chr3L	+	7087922	7116397
9135	Npc2h-RA	CG11315-RA	chr3R	-	26571201	26572008
9136	lama-RB	CG10645-RB	chr3L	-	5336717	5348443
9163	gbb-RA	CG5562-RA	chr2R	+	19739081	19740772
9164	Kdm4A-RA	CG15835-RA	chr2R	-	3810274	3812477
9167	CG4433-RA	CG4433-RA	chr3R	-	15844304	15846892
9186	Ak6-RA	CG8816-RA	chr2R	-	8456515	8457330
9198	CG4598-RA	CG4598-RA	chr2L	+	9918621	9919967
9233	twf-RA	CG3172-RA	chr3R	+	9948378	9950199
9279	CG7791-RA	CG7791-RA	chr2R	-	1645560	1647909
9298	CCS-RA	CG17753-RA	chr2R	-	6008692	6010054
9327	CG5397-RA	CG5397-RA	chr2L	+	1240038	1242205
9336	CG3476-RA	CG3476-RA	chr2L	+	7027550	7028959
9380	shep-RC	CG32423-RC	chr3L	-	5153786	5177893
9387	CG10981-RB	CG10981-RB	chr3R	+	1650305	1652298
9411	CG32027-RA	CG32027-RA	chr3L	+	18834599	18835887
9427	retm-RA	CG9528-RA	chr2L	-	6448801	6455934
9443	RpL23A-RA	CG7977-RA	chr3L	-	1667192	1668651
9447	CG2889-RA	CG2889-RA	chrX	+	10367909	10371235
9459	glec-RA	CG6575-RA	chr3R	-	17676627	17681984
9462	lds-RA	CG2684-RA	chr3R	+	3746157	3750211
9468	CG8089-RA	CG8089-RA	chr2R	-	11033330	11035300
9472	Invadolysin-RA	CG3953-RA	chr3R	+	5970422	5984858
9532	eIF2B-alpha-RA	CG7883-RA	chr3R	-	25760304	25761603
9548	CG7048-RA	CG7048-RA	chr3R	+	18312921	18313757
9551	Dbp80-RC	CG17023-RC	chr3LHet	+	2409907	2424014
9554	beta4GalT7-RA	CG11780-RA	chr3R	+	20848982	20850205
9577	Rrp46-RA	CG4043-RA	chr3R	+	6239024	6239968
9605	CG5021-RA	CG5021-RA	chr3L	+	8959926	8961484
9631	Jon74E-RA	CG6298-RA	chr3L	-	17539968	17542244
9641	Hel25E-RC	CG7269-RC	chr2L	-	5539326	5542285
9646	l(3)05822-RA	CG7129-RA	chr3R	-	14114579	14124601
9681	CG3711-RB	CG3711-RB	chrX	-	817200	821565
9695	ssp3-RA	CG18397-RA	chr2L	-	18916525	18943935
9697	Arc2-RA	CG13941-RA	chr2R	+	10249429	10250330
9701	Elp3-RA	CG15433-RA	chr2L	+	4444762	4446765
9709	RpS23-RA	CG8415-RA	chr2R	-	10102740	10104077
9734	CG17912-RA	CG17912-RA	chr2L	+	16743406	16745565
9756	CG11447-RA	CG11447-RA	chr3R	+	15687364	15688322
9770	CG5707-RA	CG5707-RA	chr3L	-	2189158	2192180
9778	CG30077-RB	CG30077-RB	chr2R	+	10488783	10489515
9788	CG7747-RA	CG7747-RA	chr2R	-	12179765	12181631
9790	CG32452-RB	CG32452-RB	chr3L	+	22710879	22712846
9816	vlc-RB	CG8390-RB	chr2R	+	1589668	1592944
9818	CG8468-RA	CG8468-RA	chr2R	+	10107405	10118131
9831	CG30390-RA	CG30390-RA	chr2R	-	17179744	17180946
9838	Pi3K92E-RB	CG4141-RB	chr3R	-	16454694	16460452
9845	Marf-RA	CG3869-RA	chrX	+	6259976	6264960
9847	CG6195-RA	CG6195-RA	chr3R	-	15472652	15474128
9862	CG14057-RA	CG14057-RA	chr3L	-	17037501	17038131
9878	CG14882-RA	CG14882-RA	chr3R	+	12268963	12270534
9892	CG6144-RB	CG6144-RB	chr2L	+	10488869	10490463
9915	koko-RF	CG31232-RF	chr3R	+	14225442	14226073
9977	mfrn-RA	CG4963-RA	chr3R	-	23768511	23773746
9995	CG10189-RA	CG10189-RA	chr2L	-	19491643	19492938
10005	f-RG	CG5424-RG	chrX	+	17172696	17174997
10046	CG11221-RA	CG11221-RA	chr2L	+	6742509	6755686
10058	lack-RA	CG4943-RA	chr2R	+	13480303	13491489
10065	CG13599-RA	CG13599-RA	chr3R	+	19757388	19758450
10072	CG7261-RA	CG7261-RA	chr2L	+	2147585	2151664
10076	CG15916-RA	CG15916-RA	chrX	+	15784610	15785580
10085	CG5871-RA	CG5871-RA	chr3R	+	17044833	17048572
10099	CG11927-RA	CG11927-RA	chr2L	+	4847788	4849499
10110	CG12301-RA	CG12301-RA	chr3L	+	15573915	15576473
10150	CG14710-RB	CG14710-RB	chr3R	+	7445834	7447450
10173	Nup44A-RB	CG8722-RB	chr2R	+	3876096	3878789
10178	CG3589-RA	CG3589-RA	chr2R	+	20671063	20673073
10186	CG5002-RA	CG5002-RA	chr2R	+	13637803	13640719
10193	Es2-RA	CG1474-RA	chrX	+	8355510	8357418
10195	A16-RA	CG9933-RA	chr2L	-	13019575	13021320
10196	RpII33-RA	CG7885-RA	chr2L	+	13833350	13834306
10235	Glycogenin-RA	CG9480-RA	chr2R	+	17087992	17100474
10261	CG1092-RA	CG1092-RA	chr3R	+	92678	94166
10272	s-cup-RA	CG30044-RA	chr2R	+	8383030	8388972
10274	CG2469-RA	CG2469-RA	chr3L	+	1307549	1311812
10281	CG7376-RA	CG7376-RA	chr3L	+	6167377	6171877
10290	CG3077-RA	CG3077-RA	chr2L	-	2764067	2765582
10326	crc-RD	CG8669-RD	chr2L	+	21310870	21312823
10331	Tina-1-RA	CG2803-RA	chr2R	-	20828148	20829932
10343	CG40191-RA	CG40191-RA	chr2RHet	+	391029	392804
10367	Ddx1-RA	CG9054-RA	chr3L	+	22256502	22259124
10398	CG15912-RA	CG15912-RA	chrX	+	4443094	4443990
10402	CG10778-RA	CG10778-RA	chrX	-	7825762	7827335
10410	unc-5-RA	CG8166-RA	chr2R	+	11237638	11255807
10411	mld-RA	CG34100-RA	chr3R	+	20411375	20449621
10424	alc-RA	CG8057-RA	chr2R	-	5022880	5025406
10438	regucalcin-RC	CG1803-RC	chrX	+	11908458	11909523
10451	CG15436-RA	CG15436-RA	chr2L	+	4463630	4465075
10460	CG4980-RA	CG4980-RA	chr3R	-	23746995	23748055
10468	l(2)03709-RF	CG15081-RF	chr2R	+	14706987	14709344
10470	CG14184-RA	CG14184-RA	chr3L	-	20020919	20022080
10471	CG11534-RA	CG11534-RA	chr3L	+	12125291	12126936
10481	CG17486-RB	CG17486-RB	chr2R	+	506544	508338
10552	CG10882-RA	CG10882-RA	chr2L	-	2231777	2236839
10574	CG30115-RE	CG30115-RE	chr2R	-	14441624	14499280
10596	JTBR-RA	CG1935-RA	chr3L	-	1802008	1802850
10601	CG15432-RA	CG15432-RA	chr2L	+	4442396	4442985
10625	CG42389-RF	CG42389-RF	chr2L	+	16601913	16662012
10629	CG8892-RB	CG8892-RB	chr2L	-	4979536	4981280
10717	betaTub97EF-RB	CG4869-RB	chr3R	-	23792730	23814104
10733	kuz-RB	CG7147-RB	chr2L	+	13550143	13638238
10746	RpL31-RC	CG1821-RC	chr2R	+	5474704	5475505
10772	Atg1-RB	CG10967-RB	chr3L	-	12778231	12798170
10831	bib-RA	CG4722-RA	chr2L	+	9984650	9995545
10845	CG12713-RA	CG12713-RA	chr3L	+	15825561	15827043
10848	Nrx-IV-RB	CG6827-RB	chr3L	+	12139621	12150106
10859	MCPH1-RD	CG42572-RD	chr2R	-	7783499	7791401
10877	chrb-RC	CG7533-RC	chr3L	+	11480657	11490429
10906	Ndg-RB	CG12908-RB	chr2R	+	6201401	6209405
10920	Pdsw-RB	CG8844-RB	chr2L	+	3466185	3467326
10921	AGO3-RF	CG40300-RF	chr3L	+	23547689	23549026
10924	CG7220-RC	CG7220-RC	chr2R	+	6619071	6620208
10939	CG9547-RA	CG9547-RA	chr2L	-	6492972	6494527
10946	l(1)G0289-RA	CG2221-RA	chrX	-	10251203	10260292
10950	UGP-RD	CG4347-RD	chr3L	-	9350880	9351970
10952	CG8235-RA	CG8235-RA	chr2R	-	4814519	4815595
10959	CD98hc-RA	CG2791-RA	chr3R	-	3800128	3803458
10979	Drip-RB	CG9023-RB	chr2R	-	7299447	7317144
11007	CG12391-RA	CG12391-RA	chr2R	-	7035102	7037540
11020	HPS-RA	CG12855-RA	chr2R	+	10742959	10745005
11029	CG5013-RA	CG5013-RA	chr3R	+	11875406	11876415
11031	CG34163-RA	CG34163-RA	chr2L	+	11988266	11988801
11035	CG7785-RA	CG7785-RA	chr3R	+	13847326	13849413
11042	rev7-RA	CG2948-RA	chr3R	+	1414630	1415261
11059	U2af38-RA	CG3582-RA	chr2L	-	293337	294673
11060	SP71-RB	CG17131-RB	chrX	+	72458	96056
