gID	name	genename	chr	strand	start	stop
2229	CG8786-RC	CG8786-RC	chr3L	-	19632322	19635852
2238	mew-RB	CG1771-RB	chrX	-	13108442	13151210
2239	CG4038-RA	CG4038-RA	chr2R	-	16983447	16984802
2259	Pez-RA	CG9493-RA	chr2L	-	6332876	6338421
2323	loco-RC	CG5248-RC	chr3R	-	18445690	18452354
2373	chn-RA	CG11798-RA	chr2R	+	11016331	11032288
2382	RpS25-RB	CG6684-RB	chr3R	-	7041007	7042005
2395	CG7224-RA	CG7224-RA	chr2L	+	7998950	7999683
2406	sced-RA	CG3273-RA	chr2R	+	2544870	2548129
2421	CaBP1-RA	CG5809-RA	chr2L	-	16354939	16356655
2439	par-1-RB	CG8201-RB	chr2R	+	15343684	15371978
2470	CG14762-RA	CG14762-RA	chr2R	-	3896616	3901259
2486	TepI-RA	CG18096-RA	chr2L	-	15888639	15893815
2504	Pvr-RA	CG8222-RA	chr2L	-	8221127	8239875
2556	Hsc70-3-RB	CG4147-RB	chrX	-	11700351	11701146
2560	Mkp3-RB	CG14080-RB	chr3L	-	19061467	19079522
2567	Jafrac1-RB	CG1633-RB	chrX	+	13223862	13226029
2576	gig-RA	CG6975-RA	chr3L	+	20122290	20132450
2585	CG11638-RA	CG11638-RA	chrX	-	908013	920733
2617	Dad-RC	CG5201-RC	chr3R	+	12879730	12896135
2627	wun-RA	CG8804-RA	chr2R	-	5288052	5296991
2628	wun-RB	CG8804-RB	chr2R	-	5296991	5300965
2636	EfSec-RA	CG9841-RA	chr2R	-	17272060	17273720
2656	CG13506-RA	CG13506-RA	chr2R	+	18270641	18281527
2665	ImpL2-RB	CG15009-RB	chr3L	-	4225969	4227294
2690	CG18508-RA	CG18508-RA	chrX	-	3066481	3067144
2710	hd-RA	CG2669-RA	chr3R	-	1198313	1200305
2722	NELF-B-RA	CG32721-RA	chrX	-	7620027	7622366
2724	CG6621-RA	CG6621-RA	chr3R	-	6715490	6719208
2763	RpS17-RB	CG3922-RB	chr3L	-	9421789	9422914
2794	Gp93-RA	CG5520-RA	chr3R	+	23774457	23777882
2803	CG11168-RB	CG11168-RB	chr3R	+	20743849	20745574
2823	RpS15-RB	CG8332-RB	chr2R	-	12457616	12458731
2834	CG11880-RB	CG11880-RB	chr3R	+	24949138	24953972
2899	CG11737-RA	CG11737-RA	chr3R	+	4343612	4347103
2901	Sox100B-RA	CG15552-RA	chr3R	+	26890982	26909129
2917	CG13116-RA	CG13116-RA	chr2L	+	9729942	9730945
2944	CG17018-RA	CG17018-RA	chr2L	+	22311932	22368776
2956	oaf-RB	CG9884-RB	chr2L	+	2492955	2498234
2963	CG16812-RA	CG16812-RA	chr2L	+	13222598	13224550
2966	Src64B-RC	CG7524-RC	chr3L	-	4594514	4626128
2985	CDase-RD	CG1471-RD	chr3R	+	26286191	26291458
2995	CG9238-RB	CG9238-RB	chr3L	-	14534633	14544071
2997	CG14935-RA	CG14935-RA	chr2L	+	11850027	11852572
3000	Gnf1-RB	CG1119-RB	chr3R	+	732352	735803
3026	CG1657-RA	CG1657-RA	chrX	+	11219427	11228107
3051	EcR-RA	CG1765-RA	chr2R	-	2019423	2056587
3052	CG32813-RA	CG32813-RA	chrX	+	1282648	1286884
3053	EcR-RB	CG1765-RB	chr2R	-	1979782	2019423
3101	CG32549-RE	CG32549-RE	chrX	-	18284521	18298615
3148	CG10992-RA	CG10992-RA	chrX	-	13674051	13676087
3223	CG7720-RC	CG7720-RC	chr3R	-	14584958	14620891
3235	CG4842-RA	CG4842-RA	chr3L	+	16361488	16362618
3265	CG11319-RA	CG11319-RA	chr2L	-	6568390	6601066
3289	Rbp9-RC	CG3151-RC	chr2L	+	2959147	2964851
3290	bou-RA	CG14430-RA	chrX	+	6880526	6881236
3300	CG17834-RD	CG17834-RD	chr2L	+	8535787	8537932
3304	borr-RB	CG4454-RB	chr2L	-	9251455	9253096
3305	CG32022-RA	CG32022-RA	chr3L	-	8713380	8714224
3319	pyd3-RA	CG3027-RA	chr3R	-	3573635	3575797
3329	CG10137-RA	CG10137-RA	chr2L	+	19526673	19532992
3337	Dpy-30L1-RA	CG6444-RA	chr2L	+	10732727	10733307
3344	CG14186-RA	CG14186-RA	chr3L	-	20091181	20096927
3422	DnaJ-1-RB	CG10578-RB	chr3L	-	5743122	5745236
3424	beat-IIIc-RB	CG15138-RB	chr2L	-	17189811	17260732
3450	Camta-RF	CG42332-RF	chr2R	+	5333554	5365595
3457	CG10889-RA	CG10889-RA	chr3R	-	15859603	15861758
3458	Srp72-RA	CG5434-RA	chr3R	+	16414439	16416762
3482	CG2135-RA	CG2135-RA	chr3R	-	27595015	27597565
3483	comm2-RA	CG7554-RA	chr3L	-	15690691	15692949
3494	retn-RB	CG5403-RB	chr2R	+	19520135	19542343
3587	CG10082-RA	CG10082-RA	chr2R	+	17533683	17544944
3593	Dp1-RB	CG5170-RB	chr2R	+	14299534	14308629
3635	y-RA	CG3757-RA	chrX	+	250542	255278
3656	ph-p-RB	CG18412-RB	chrX	-	2020243	2030919
3673	CG5325-RB	CG5325-RB	chr2L	+	12093797	12095250
3686	CG9486-RA	CG9486-RA	chr2L	+	6255844	6256715
3693	CG5535-RC	CG5535-RC	chr3L	-	17845724	17849862
3706	CG40127-RA	CG40127-RA	chr2R	-	74991	75603
3712	T3dh-RA	CG3425-RA	chr2R	-	18217231	18219558
3770	CG10383-RA	CG10383-RA	chr2L	-	18690902	18695388
3777	CG6024-RE	CG6024-RE	chr3L	-	11726689	11758898
3798	CG4269-RA	CG4269-RA	chr2R	+	18486844	18487861
3799	LanB2-RA	CG3322-RA	chr3L	+	9608019	9617080
3842	wls-RB	CG6210-RB	chr3L	-	11159720	11162723
3893	jing-RH	CG9397-RH	chr2R	+	2497992	2506882
3896	CG9253-RA	CG9253-RA	chr2L	+	21143239	21143914
3913	sbb-RG	CG5580-RG	chr2R	-	14166570	14244801
3955	CG4942-RA	CG4942-RA	chr3L	+	9066214	9067567
3977	CG10011-RA	CG10011-RA	chr3R	-	24433653	24460819
3982	Oat-RA	CG8782-RA	chr3L	-	19640376	19642942
3986	Taf12-RD	CG17358-RD	chr3R	-	7504099	7505388
4004	qkr54B-RA	CG4816-RA	chr2R	+	13357137	13362158
4020	CG5933-RA	CG5933-RA	chr3R	+	19857884	19859979
4075	Irp-1B-RA	CG6342-RA	chr3R	-	6234337	6238588
4078	hop-RA	CG1594-RA	chrX	-	11254932	11262086
4099	Gap1-RA	CG6721-RA	chr3L	-	9832786	9848380
4182	Dll-RB	CG3629-RB	chr2R	+	20702344	20722125
4183	inx2-RA	CG4590-RA	chrX	+	6892708	6898182
4184	Hsp26-RA	CG4183-RA	chr3L	-	9369518	9370472
4204	Cyp6a2-RA	CG9438-RA	chr2R	-	2667220	2668992
4245	CG9416-RA	CG9416-RA	chr2R	-	15254746	15260727
4253	CG6325-RA	CG6325-RA	chr3R	-	6228683	6233016
4262	Pegarn-RA	CG17667-RA	chr3L	+	12783293	12789184
4266	Hsc70Cb-RB	CG6603-RB	chr3L	+	14030153	14036659
4287	Pk61C-RD	CG1210-RD	chr3L	+	129452	145305
4315	CG7059-RD	CG7059-RD	chr3R	+	18215703	18218084
4316	CHKov2-RA	CG10675-RA	chr3R	-	21155246	21156924
4324	CG10344-RB	CG10344-RB	chr2R	-	18313252	18314478
4350	CG9372-RA	CG9372-RA	chr3L	+	19599330	19601468
4370	mthl2-RB	CG17795-RB	chr3L	+	5597893	5600290
4395	eya-RA	CG9554-RA	chr2L	-	6527449	6536134
4426	CG8620-RB	CG8620-RB	chr3L	+	7151195	7151987
4439	NetA-RA	CG18657-RA	chrX	-	14498045	14547862
4447	caz-RB	CG3606-RB	chrX	+	16182859	16187553
4466	sws-RA	CG2212-RA	chrX	-	7850853	7862279
4503	Traf4-RA	CG3048-RA	chr2L	+	4371990	4380725
4541	CG10440-RA	CG10440-RA	chr2R	-	17447751	17458957
4544	nord-RA	CG30418-RA	chr2R	+	20130786	20142617
4545	Oatp74D-RC	CG7571-RC	chr3L	+	17480223	17504793
4644	CG14253-RA	CG14253-RA	chr3R	+	22806242	22811431
4656	CG6479-RA	CG6479-RA	chr3L	-	17330272	17332341
4686	svp-RB	CG11502-RB	chr3R	+	8106865	8128509
4712	CG7372-RA	CG7372-RA	chr3L	+	15613091	15617236
4754	argos-RA	CG4531-RA	chr3L	-	16463479	16476746
4762	Pdk-RB	CG8808-RB	chr2R	+	5314056	5321930
4804	Den1-RA	CG8493-RA	chr2R	+	8225313	8227049
4805	zfh1-RB	CG1322-RB	chr3R	+	26591654	26612858
4811	Aats-arg-RA	CG9020-RA	chrX	-	15735796	15738158
4845	fz2-RC	CG9739-RC	chr3L	-	19135998	19163743
4846	fz2-RD	CG9739-RD	chr3L	-	19163743	19228059
4913	bab2-RA	CG9102-RA	chr3L	-	1140449	1177274
4921	CG8180-RA	CG8180-RA	chr2R	-	11359970	11370336
4930	CG6700-RA	CG6700-RA	chr2L	-	10837732	10842585
5008	fus-RB	CG8205-RB	chr2R	-	11547521	11552599
5017	Gapdh1-RB	CG12055-RB	chr2R	-	3679403	3680687
5018	spin-RE	CG8428-RE	chr2R	+	12012493	12025743
5030	CG17839-RB	CG17839-RB	chr3L	+	14798222	14874834
5033	MRP-RO	CG6214-RO	chr2L	+	12719046	12744809
5039	CG7582-RA	CG7582-RA	chr3R	-	25505983	25507763
5072	Pak3-RA	CG14895-RA	chr3R	-	12272450	12279539
5075	CG13631-RA	CG13631-RA	chr3R	+	20595076	20595850
5087	CG8312-RA	CG8312-RA	chr3R	+	5417033	5450798
5114	CG8177-RH	CG8177-RH	chr3L	+	9756652	9778490
5119	CG13603-RA	CG13603-RA	chr3R	-	19810935	19812277
5121	CG1746-RA	CG1746-RA	chr3R	-	27041864	27045281
5123	bocksbeutel-RA	CG9424-RA	chr3R	-	5415190	5416706
5133	26-29-p-RA	CG8947-RA	chr3L	+	13987363	13989678
5134	LpR2-RF	CG31092-RF	chr3R	-	21524488	21545837
5153	bip1-RA	CG7574-RA	chr3L	-	8047433	8051811
5198	CG16700-RA	CG16700-RA	chrX	+	16985858	16992520
5210	Fmo-2-RA	CG3174-RA	chr2R	-	2529922	2532600
5229	Khc-73-RA	CG8183-RA	chr2R	-	11405212	11419729
5239	Mec2-RA	CG7635-RA	chrX	+	19082083	19084226
5244	sli-RA	CG8355-RA	chr2R	-	11760176	11809652
5250	Wnt5-RA	CG6407-RA	chrX	-	18395573	18399436
5266	nec-RA	CG1857-RA	chr2R	-	3043981	3045733
5309	Atet-RB	CG2969-RB	chr2L	+	4333926	4345411
5316	BicD-RA	CG6605-RA	chr2L	-	17460834	17473198
5329	CG8586-RA	CG8586-RA	chr2R	-	4581244	4583297
5338	IP3K1-RA	CG4026-RA	chr2L	+	9782392	9788499
5348	CG9641-RA	CG9641-RA	chr2L	-	2974854	2976859
5351	CG9386-RA	CG9386-RA	chr3R	-	5379418	5381103
5362	CG30403-RB	CG30403-RB	chr2R	-	17596955	17599114
5376	dbo-RA	CG6224-RA	chr3L	+	15820011	15825104
5422	foxo-RA	CG3143-RA	chr3R	+	9882670	9913698
5439	Kr-h2-RA	CG9159-RA	chr2L	+	6071073	6073961
5453	CG7852-RC	CG7852-RC	chr3L	+	1537166	1544825
5480	Pgm-RA	CG5165-RA	chr3L	-	16119155	16121629
5546	nub-RD	CG34395-RD	chr2L	+	12618348	12628135
5552	CG42342-RC	CG42342-RC	chr3R	+	12328494	12397082
5570	Jheh3-RA	CG15106-RA	chr2R	-	14747880	14749576
5589	CG32243-RA	CG32243-RA	chr3L	-	4539302	4541219
5610	CG30463-RC	CG30463-RC	chr2R	-	12560966	12618889
5630	CG12262-RA	CG12262-RA	chr3L	+	7712460	7714585
5640	CG7231-RC	CG7231-RC	chr2L	+	7985247	7986786
5650	CG9154-RA	CG9154-RA	chr2L	-	6069790	6070607
5655	CG9505-RA	CG9505-RA	chr2L	+	6367884	6370195
5666	Marcal1-RA	CG3753-RA	chr2L	+	4955568	4958292
5723	l(1)G0232-RC	CG32697-RC	chrX	-	9539972	9552920
5773	CG8132-RA	CG8132-RA	chr3R	+	5227221	5228340
5774	Lasp-RB	CG3849-RB	chr3L	-	16669506	16704773
5791	CG9992-RD	CG9992-RD	chrX	-	16275984	16278937
5807	SmG-RA	CG9742-RA	chrX	-	16533832	16534447
5809	mst-RA	CG1424-RA	chrX	+	21260023	21261877
5811	CG3940-RA	CG3940-RA	chr3R	+	5938269	5945142
5834	CG12026-RB	CG12026-RB	chr3L	+	1885660	1891470
5836	CG11255-RA	CG11255-RA	chr3L	-	13013082	13015764
5846	CG2065-RA	CG2065-RA	chr2R	+	3551292	3552780
5854	CG1399-RE	CG1399-RE	chr2R	-	3564575	3586409
5864	Prp8-RA	CG8877-RA	chr2R	-	8041763	8050517
5877	sba-RC	CG13598-RC	chr3R	-	19719889	19748752
5886	Srp14-RB	CG5417-RB	chr3R	+	16405856	16406486
5893	RhoGAP71E-RC	CG32149-RC	chr3L	+	15581990	15600225
5899	syd-RA	CG8110-RA	chr3L	-	7919692	7929197
5903	CG13189-RA	CG13189-RA	chr2R	+	7787049	7788899
5907	DAT-RA	CG8380-RA	chr2R	-	12446062	12452740
5926	CG16926-RA	CG16926-RA	chr2R	-	15387799	15388823
5930	Dif-RB	CG6794-RB	chr2L	-	17413248	17428195
5936	CG9247-RA	CG9247-RA	chr2L	-	21160636	21163055
5952	CG10175-RA	CG10175-RA	chr3R	-	19348423	19356705
5979	Prx2540-2-RA	CG11765-RA	chr2R	+	6306229	6307278
5997	CG31217-RA	CG31217-RA	chr3R	-	12478168	12481382
5999	shn-RD	CG7734-RD	chr2R	+	7061308	7092134
6004	Pepck-RA	CG17725-RA	chr2R	+	14424274	14426924
6006	Nipped-A-RD	CG33554-RD	chr2R	-	1065506	1138506
6028	Sep4-RB	CG9699-RB	chrX	-	16578244	16589202
6047	Hf-RA	CG10658-RA	chr2L	-	19966727	19967683
6091	CG5569-RA	CG5569-RA	chr2R	+	19752956	19754177
6108	Dcp2-RB	CG6169-RB	chr3L	-	15814087	15819515
6144	CG18744-RB	CG18744-RB	chr3R	-	3622798	3624493
6145	CG12214-RA	CG12214-RA	chr2R	-	6043875	6046084
6161	CG7888-RC	CG7888-RC	chr3L	+	11047137	11052759
6176	Ace-RB	CG17907-RB	chr3R	-	9084496	9085241
6189	stmA-RA	CG8739-RA	chr2R	-	4617018	4620940
6238	Reg-5-RA	CG2928-RA	chr2R	-	20675526	20680927
6243	Gprk2-RA	CG17998-RA	chr3R	+	27230971	27283499
6248	CG5704-RA	CG5704-RA	chr3L	-	2169622	2170964
6277	Hsp70Ab-RA	CG18743-RA	chr3R	+	7784265	7786673
6312	lbe-RA	CG6545-RA	chr3R	-	17267314	17272067
6313	CG6424-RA	CG6424-RA	chr2R	-	13590840	13606851
6321	CG10222-RA	CG10222-RA	chr3L	-	13404629	13405578
6330	out-RA	CG8062-RA	chrX	-	19205061	19216095
6467	CG5807-RA	CG5807-RA	chr3R	-	20631387	20639712
6468	Rab11-RB	CG5771-RB	chr3R	+	16937153	16941868
6491	CG3884-RA	CG3884-RA	chr2R	-	8835853	8839791
6498	row-RA	CG8092-RA	chr2R	-	11094028	11101137
6503	Got2-RC	CG4233-RC	chr2L	-	1984512	1987749
6531	bru-3-RB	CG12478-RB	chr3L	-	13531018	13659863
6566	CG11347-RD	CG11347-RD	chr3L	+	4407149	4414362
6585	CG13531-RB	CG13531-RB	chr2R	-	18735355	18741293
6587	larp-RD	CG42551-RD	chr3R	-	24154024	24162185
6595	CG12177-RA	CG12177-RA	chrX	-	13571932	13574429
6601	Arpc3B-RB	CG8936-RB	chrX	-	16998604	16999895
6695	CG1675-RA	CG1675-RA	chr2R	+	5753183	5754039
6702	CG18599-RA	CG18599-RA	chr3R	+	14093510	14096895
6703	Cyp4ad1-RA	CG2110-RA	chr2R	-	4326898	4330298
6722	Sc2-RA	CG10849-RA	chr3L	+	3903511	3905033
6739	vvl-RA	CG10037-RA	chr3L	+	6783260	6787637
6767	exo84-RB	CG6095-RB	chr3R	-	21875451	21877968
6805	elm-RA	CG2185-RA	chr3R	-	1478555	1480510
6856	shep-RA	CG32423-RA	chr3L	-	5241544	5271061
6865	CG18747-RB	CG18747-RB	chr3R	-	3606712	3609192
6872	verm-RE	CG8756-RE	chr3L	-	19683133	19688354
6887	nopo-RA	CG5140-RA	chr2R	+	14068130	14070024
6889	Dys-RC	CG34157-RC	chr3R	+	15289255	15421117
6907	RpS6-RA	CG10944-RA	chrX	-	7793653	7795319
6915	CG12880-RA	CG12880-RA	chr3R	+	23511689	23518514
6918	Pcf11-RD	CG10228-RD	chr2R	-	10748661	10758573
6937	NPFR76F-RA	CG7395-RA	chr3L	-	20053096	20082105
6941	gk-RB	CG13695-RB	chr3L	+	18132504	18138520
6965	spri-RG	CG34414-RG	chrX	-	10384500	10440787
7025	CG7646-RB	CG7646-RB	chr3L	+	19985032	19989012
7053	mbl-RE	CG33197-RE	chr2R	+	13153037	13252891
7063	HLHm7-RA	CG8361-RA	chr3R	+	21862757	21863482
7082	CG31769-RA	CG31769-RA	chr2L	-	14109597	14110736
7085	mus209-RA	CG9193-RA	chr2R	-	16149259	16150315
7086	Cyp12b2-RA	CG15077-RA	chr2R	+	14642501	14644588
7118	CG10306-RA	CG10306-RA	chr2R	+	17572820	17573709
7124	CG32816-RA	CG32816-RA	chrX	-	210609	228830
7134	l(1)G0469-RB	CG32597-RB	chrX	-	14099112	14105484
7137	CG15611-RB	CG15611-RB	chr2R	+	12996352	13001866
7187	CG15930-RB	CG15930-RB	chrX	-	5209163	5211328
7194	raw-RB	CG12437-RB	chr2L	-	8735793	8740660
7209	Mocs1-RB	CG33048-RB	chr3L	+	11063664	11066448
7214	CG7288-RA	CG7288-RA	chrX	+	18752240	18754111
7251	MED17-RA	CG7957-RA	chr3R	+	14014808	14016987
7259	CG1647-RA	CG1647-RA	chr3R	+	24645950	24650181
7262	Ssadh-RB	CG4685-RB	chr3R	-	21450527	21452620
7271	wda-RA	CG4448-RA	chr3R	-	19080792	19083794
7273	wit-RA	CG10776-RA	chr3L	-	4064146	4071713
7284	CG12075-RA	CG12075-RA	chrX	+	8758147	8766168
7331	CG2837-RC	CG2837-RC	chr2L	-	4904068	4906759
7342	CG9629-RA	CG9629-RA	chr3L	-	19259572	19262009
7363	fbp-RA	CG31692-RA	chr2L	-	19761579	19764133
7392	CG15236-RA	CG15236-RA	chr2R	+	2715866	2725865
7410	inx3-RA	CG1448-RA	chr3R	-	24679837	24684933
7423	wech-RA	CG42396-RA	chr2R	-	3376191	3377313
7428	l(2)k16918-RA	CG3920-RA	chr2L	+	3803548	3805684
7436	CG42351-RC	CG42351-RC	chr2R	-	14644591	14648577
7451	CG6726-RA	CG6726-RA	chr3R	+	18917449	18919181
7459	CG11980-RA	CG11980-RA	chr3R	+	4829769	4831053
7470	RpL23-RA	CG3661-RA	chr2R	+	18741912	18743219
7489	CG5792-RA	CG5792-RA	chr2L	-	12713276	12721840
7494	aPKC-RA	CG10261-RA	chr2R	-	10831960	10850451
7495	CG8297-RA	CG8297-RA	chr2R	+	11822368	11823443
7507	CG3394-RA	CG3394-RA	chr2R	+	20181625	20185646
7524	CG4022-RA	CG4022-RA	chr3L	-	9401272	9403883
7567	CG9008-RB	CG9008-RB	chr2L	-	13774342	13780163
7584	fra-RB	CG8581-RB	chr2R	+	8416561	8451691
7598	CG7191-RA	CG7191-RA	chr2L	+	7767621	7775033
7604	Aats-gly-RB	CG6778-RB	chr3L	+	15088248	15090790
7605	Mdr65-RA	CG10181-RA	chr3L	-	6233600	6238836
7618	thoc5-RA	CG2980-RA	chr2R	+	19841630	19843930
7638	RpS7-RC	CG1883-RC	chr3R	-	26032240	26034664
7642	CG10990-RA	CG10990-RA	chrX	-	13640661	13649431
7658	noc-RA	CG4491-RA	chr2L	+	14490863	14494019
7724	CG7714-RA	CG7714-RA	chr3R	-	14551116	14552156
7811	Idgf1-RA	CG4472-RA	chr2L	+	16445281	16446847
7844	exex-RA	CG8254-RA	chr3L	+	7941291	7944667
7879	PGRP-LA-RC	CG32042-RC	chr3L	+	9329142	9331436
7912	Rca1-RA	CG10800-RA	chr2L	+	6852348	6853876
7932	CG32428-RA	CG32428-RA	chr3L	-	20463768	20466470
7943	Gld-RA	CG1152-RA	chr3R	-	3077771	3091417
7959	CG7484-RB	CG7484-RB	chr3L	+	17647719	17648750
7986	CG14997-RA	CG14997-RA	chr3L	+	4240310	4242603
8003	S-RA	CG4385-RA	chr2L	-	1050877	1077811
